product_name,ingredients_text,nova_group,health_score,allergens,additives,calories,protein_g,carbs_g,fat_g,sugar_g,sodium_mg,fiber_g,nutrition_density,food_group,source_dataset
Cream Cheese,"cream cheese, pasteurized milk, cheese cultures, salt, enzymes",3,57.0,Milk/Dairy,,51.0,0.9,0.8,5.0,0.5,16.0,0.0,7.1,Group 1,FOOD-DATA-GROUP1.csv
Neufchatel Cheese,"neufchatel cheese, pasteurized milk, cheese cultures, salt, enzymes",3,67.1,Milk/Dairy,,215.0,7.8,3.1,19.4,2.7,300.0,0.0,130.1,Group 1,FOOD-DATA-GROUP1.csv
Requeijao Cremoso Light Catupiry,requeijao cremoso light catupiry,1,75.2,,,49.0,0.8,0.9,3.6,3.4,0.0,0.1,5.4,Group 1,FOOD-DATA-GROUP1.csv
Ricotta Cheese,"ricotta cheese, pasteurized milk, cheese cultures, salt, enzymes",3,57.0,Milk/Dairy,,30.0,1.5,1.5,2.0,0.1,17.0,0.0,5.2,Group 1,FOOD-DATA-GROUP1.csv
Cream Cheese Low Fat,"cream cheese low fat, pasteurized milk, cheese cultures, salt, enzymes",3,62.0,Milk/Dairy,,30.0,1.2,1.2,2.3,0.9,46.0,0.0,27.0,Group 1,FOOD-DATA-GROUP1.csv
Cream Cheese Fat Free,"cream cheese fat free, pasteurized milk, cheese cultures, salt, enzymes",3,62.9,Milk/Dairy,,19.0,2.8,1.4,0.2,1.0,100.0,0.0,67.7,Group 1,FOOD-DATA-GROUP1.csv
Gruyere Cheese,"gruyere cheese, pasteurized milk, cheese cultures, salt, enzymes",3,75.3,Milk/Dairy,,116.0,8.3,0.1,9.1,0.1,200.0,0.0,300.7,Group 1,FOOD-DATA-GROUP1.csv
Cheddar Cheese,"cheddar cheese, pasteurized milk, cheese cultures, salt, enzymes",3,70.8,Milk/Dairy,,113.0,6.4,0.9,9.3,0.1,200.0,0.0,215.5,Group 1,FOOD-DATA-GROUP1.csv
Parmesan Cheese,"parmesan cheese, pasteurized milk, cheese cultures, salt, enzymes",3,71.3,Milk/Dairy,,71.0,6.4,0.6,4.5,0.0,200.0,0.0,224.8,Group 1,FOOD-DATA-GROUP1.csv
Romano Cheese,"romano cheese, pasteurized milk, cheese cultures, salt, enzymes",3,62.3,Milk/Dairy,,19.0,1.6,0.2,1.3,0.1,8.0,0.0,56.4,Group 1,FOOD-DATA-GROUP1.csv
